"tokenid","total_score","residential_score","commercial_score","industrial_score","residential_boost","commercial_boost","industrial_boost","residential_buildings","commercial_buildings","industrial_buildings","public_buildings","launcher","crossing_type","color_scheme","gradient_direction","hospital","police station","fire station","football stadium","baseball stadium","soccer stadium","wind farm","solar farm","nuclear power plant","metroverse theatre","metroverse museum","metcinema","rocket launch site","crypto mining facility","unbelievaltable","rail-x-rail","river-x-river","neo tokyo throne","etherorcs battle arena","karafuru vending machine","terra attack launcher","omni attack launcher","plasma attack launcher","metro attack launcher","terra shield launcher","omni shield launcher","plasma shield launcher","metro shield launcher","terra boost launcher","omni boost launcher","plasma boost launcher","metro boost launcher"
"10017","318","101","101","80","0.17","0.16","0.04","11","11","7","5","Plasma Shield Launcher","street-x-river","-140","-160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10018","324","82","85","157","0.04","0.03","0.06","9","10","12","3","0","rail-x-street","40","20",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10019","326","92","69","165","0.14","0.14","0.12","9","8","12","5","0","street-x-river","80","60",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10020","291","144","71","76","0.3","0.29","0.23","10","7","8","8","0","rail-x-street","100","80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10021","329","88","140","101","0.12","0.12","0.1","9","11","9","3","0","street-x-river","140","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10022","327","79","120","92","0.07","0.07","0.03","10","11","11","2","Plasma Boost Launcher","street-x-street","-60","-80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"10023","301","79","140","82","0.18","0.18","0.14","12","10","7","4","0","rail-x-street","140","120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10024","311","105","124","82","0.22","0.21","0.12","11","9","9","5","0","river-x-river","-140","-160",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10025","243","49","77","117","0.17","0.16","0.03","7","7","14","5","0","river-x-rail","60","40",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10026","339","85","170","84","0.03","0.03","0","10","15","8","1","0","river-x-river","140","120",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10027","358","81","99","142","0.12","0.12","0.08","10","10","10","3","Metro Attack Launcher","street-x-street","100","80",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10028","305","79","78","112","0.1","0.09","0.04","9","11","11","2","Terra Boost Launcher","street-x-rail","-100","-120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10029","305","94","78","97","0.15","0.14","0.05","11","8","11","4","Metro Boost Launcher","rail-x-street","100","80",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10030","305","121","56","92","0.21","0.2","0.11","11","6","10","5","Plasma Shield Launcher","river-x-street","20","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10031","342","107","116","119","0.14","0.14","0.08","10","13","10","4","0","rail-x-street","20","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10032","287","150","59","78","0.17","0.16","0.08","16","7","9","4","0","rail-x-street","120","100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10033","293","64","95","134","0.16","0.16","0.13","8","11","12","4","0","street-x-rail","60","40",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10034","264","126","63","75","0.17","0.17","0.12","14","9","8","6","0","river-x-rail","60","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10035","350","100","106","144","0.16","0.16","0.13","10","10","12","4","0","street-x-street","80","60",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10036","340","113","119","108","0.11","0.11","0.05","8","10","13","3","0","street-x-street","-100","0",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10037","304","92","118","94","0.09","0.08","0.04","11","12","13","2","0","rail-x-rail","-120","-140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10038","264","65","108","91","0.18","0.18","0.09","9","11","13","5","0","street-x-river","-20","-40",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10039","271","56","108","107","0.25","0.24","0.14","7","13","10","6","0","street-x-street","100","80",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10040","332","93","112","127","0.14","0.13","0.03","7","11","12","4","0","street-x-street","-100","-120",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10041","288","76","93","83","0.2","0.2","0.14","8","11","11","5","Terra Attack Launcher","river-x-street","40","20",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10042","221","57","75","89","0.26","0.25","0.2","8","9","10","7","0","river-x-rail","80","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10043","273","109","65","63","0.28","0.27","0.13","9","7","7","7","Omni Boost Launcher","street-x-rail","20","0",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10044","312","93","118","101","0.13","0.13","0.11","10","11","10","3","0","street-x-river","-80","-100",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10045","326","64","111","151","0.21","0.2","0.13","6","13","10","5","0","rail-x-river","-100","-120",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10046","310","118","52","104","0.24","0.24","0.18","12","6","9","6","Plasma Shield Launcher","river-x-rail","-20","-40",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10047","282","29","135","82","0.14","0.14","0.08","4","13","10","4","Plasma Attack Launcher","river-x-street","-60","-80",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10048","314","27","139","148","0.19","0.18","0.07","3","9","13","5","0","street-x-street","120","100",0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10049","314","105","77","132","0.17","0.16","0.03","10","9","11","5","0","rail-x-rail","-160","-180",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10050","332","135","107","90","0.03","0.03","0","14","13","10","1","0","river-x-street","20","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10051","325","133","76","116","0.24","0.23","0.12","13","8","10","6","0","street-x-street","60","40",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10052","242","100","35","107","0.21","0.2","0.17","11","5","12","7","0","street-x-street","-120","-140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10053","312","94","99","119","0.21","0.2","0.12","11","11","14","5","0","street-x-rail","-20","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10054","292","92","101","99","0.25","0.24","0.13","8","9","13","6","0","street-x-street","-60","-80",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10055","275","67","82","126","0.03","0.03","0","8","10","12","1","0","rail-x-street","140","0",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10056","259","83","122","54","0.19","0.18","0.13","11","12","8","6","0","street-x-river","80","60",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10057","321","67","136","118","0.18","0.17","0.05","7","12","12","5","0","river-x-river","-180","160",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10058","319","85","100","98","0.12","0.12","0.09","12","10","10","3","Metro Attack Launcher","rail-x-street","-140","-160",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10059","339","117","109","113","0.09","0.09","0.08","13","9","13","2","0","rail-x-street","160","140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10060","319","113","109","97","0.11","0.1","0.03","13","10","9","3","0","street-x-street","80","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10061","268","104","88","76","0.12","0.11","0.04","13","10","11","3","0","street-x-street","-60","-80",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10062","303","52","156","95","0.29","0.28","0.16","8","10","8","7","0","rail-x-street","20","0",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10063","283","70","85","128","0.14","0.14","0.07","9","11","16","4","0","street-x-street","-160","-180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10064","261","52","130","79","0.2","0.2","0.08","6","12","9","6","0","rail-x-street","40","20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10065","290","77","68","145","0.16","0.15","0.04","8","8","12","4","0","rail-x-street","100","80",0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10066","317","55","107","119","0.07","0.07","0.03","7","10","14","2","Terra Shield Launcher","street-x-street","-140","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10067","363","120","176","31","0.21","0.21","0.17","11","10","3","5","Omni Attack Launcher","street-x-river","140","120",0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10068","279","68","109","102","0.15","0.14","0.03","9","10","8","4","0","street-x-rail","-60","0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10069","287","90","149","48","0.18","0.18","0.19","10","14","7","5","0","rail-x-street","160","140",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10070","291","77","139","75","0.29","0.28","0.18","8","12","10","7","0","rail-x-street","-100","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10071","313","116","134","63","0.13","0.13","0.09","12","12","6","3","0","river-x-street","-100","-120",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10072","320","83","109","92","0.08","0.08","0","9","13","7","3","Omni Shield Launcher","rail-x-street","-140","-160",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10073","323","137","76","74","0.13","0.12","0.05","12","8","10","3","Omni Attack Launcher","rail-x-street","140","120",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10074","285","71","139","75","0.07","0.06","0","11","12","11","2","0","street-x-street","-180","160",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10075","318","58","129","131","0.14","0.14","0.04","5","14","13","4","0","street-x-rail","100","80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10076","336","76","92","168","0.26","0.26","0.16","9","5","15","7","0","rail-x-river","160","140",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"10077","274","89","74","75","0.26","0.25","0.14","11","9","8","6","Terra Shield Launcher","street-x-street","-100","-120",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10078","308","52","79","141","0.1","0.1","0.04","7","8","17","3","Terra Shield Launcher","rail-x-street","-160","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10079","256","74","79","103","0.11","0.11","0.05","8","11","13","5","0","street-x-street","-100","-120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10080","284","71","76","101","0.09","0.09","0.03","8","9","12","3","Plasma Boost Launcher","street-x-street","140","120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10081","331","117","78","100","0.18","0.17","0.04","11","8","8","5","Terra Attack Launcher","rail-x-river","-160","-180",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10082","298","117","119","62","0.18","0.18","0.12","12","9","10","5","0","street-x-rail","-40","-60",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10083","293","85","100","108","0.1","0.1","0.05","9","11","14","3","0","rail-x-river","-40","-60",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10084","273","82","123","68","0.05","0.05","0","13","13","10","2","0","street-x-rail","-180","160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10085","293","117","60","80","0.1","0.09","0","13","9","11","3","Terra Boost Launcher","street-x-street","60","40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10086","291","89","105","97","0.13","0.13","0.1","11","13","8","3","0","rail-x-street","140","120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10087","347","87","161","99","0.18","0.18","0.09","7","10","8","5","0","rail-x-street","80","60",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10088","289","78","122","89","0.2","0.2","0.16","8","12","8","5","0","street-x-rail","-20","-40",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10089","331","129","88","114","0.14","0.13","0.04","13","10","9","4","0","street-x-street","-160","-180",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10090","227","57","71","63","0.15","0.15","0.17","8","10","9","6","Terra Boost Launcher","street-x-street","-120","-140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10091","307","48","119","140","0.18","0.18","0.09","7","12","13","5","0","street-x-street","-40","0",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10092","295","154","35","70","0.08","0.08","0.05","17","5","9","2","Plasma Boost Launcher","street-x-river","-160","-180",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10093","346","119","84","107","0.14","0.14","0.08","11","8","12","4","Omni Shield Launcher","street-x-street","160","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10094","322","110","132","80","0.11","0.11","0","11","9","7","4","0","rail-x-street","40","20",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10095","309","92","73","108","0.17","0.16","0.09","11","8","13","4","Plasma Attack Launcher","rail-x-street","-80","-100",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10096","329","76","178","75","0.04","0.04","0.04","9","15","8","1","0","rail-x-river","40","20",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10097","314","86","82","110","0.12","0.11","0.08","11","10","12","4","Metro Shield Launcher","river-x-street","-120","-140",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10098","315","102","131","82","0.2","0.2","0.14","11","10","9","5","0","river-x-rail","-120","-140",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10099","309","89","80","140","0.19","0.19","0.13","8","9","13","5","0","street-x-street","-20","-40",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10100","310","39","134","101","0.15","0.14","0.05","8","12","7","4","Metro Attack Launcher","street-x-rail","-40","-60",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10101","257","85","69","67","0.15","0.15","0.14","10","10","9","5","Metro Attack Launcher","street-x-street","-140","-160",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10102","301","127","93","81","0.22","0.22","0.12","11","10","7","6","0","street-x-street","-100","-120",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10103","297","92","87","118","0.24","0.23","0.13","10","6","11","6","0","rail-x-street","140","120",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"10104","257","92","99","66","0.2","0.19","0.15","9","11","7","6","0","street-x-street","-80","-100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10105","303","138","89","76","0.1","0.09","0","15","9","10","3","0","rail-x-river","-120","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10106","308","96","69","143","0.13","0.13","0.12","10","8","12","5","0","street-x-street","40","20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10107","260","26","91","107","0.13","0.13","0.1","6","12","10","3","Omni Attack Launcher","street-x-rail","80","60",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10108","287","80","111","96","0.15","0.15","0.09","10","10","13","4","0","rail-x-street","-80","0",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10109","318","84","36","162","0.18","0.18","0.09","9","5","14","5","Plasma Shield Launcher","river-x-street","0","-20",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10110","358","112","120","126","0.07","0.06","0","13","10","13","2","0","river-x-street","20","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10111","321","35","116","134","0.2","0.19","0.11","3","8","12","5","Plasma Boost Launcher","rail-x-rail","100","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"10112","293","88","105","100","0.18","0.18","0.11","12","11","10","5","0","rail-x-street","40","0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10113","344","133","108","103","0.18","0.17","0.04","13","11","9","5","0","street-x-street","-20","-40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10114","268","64","129","75","0.29","0.28","0.18","5","11","8","7","0","river-x-rail","-40","-60",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10115","310","111","92","107","0.17","0.17","0.08","9","11","11","5","0","rail-x-river","120","100",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10116","269","54","100","79","0.25","0.24","0.14","8","8","8","6","Omni Shield Launcher","rail-x-rail","-160","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"10117","245","48","86","111","0.23","0.23","0.16","9","10","12","6","0","street-x-rail","-60","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10118","296","98","93","105","0.09","0.08","0.03","11","11","13","2","0","rail-x-street","100","80",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10119","281","53","86","142","0.08","0.08","0","8","10","13","3","0","street-x-river","-140","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
