"tokenid","total_score","residential_score","commercial_score","industrial_score","residential_boost","commercial_boost","industrial_boost","residential_buildings","commercial_buildings","industrial_buildings","public_buildings","hospital","police station","fire station","school","university","town hall","metpot casino","wildlife waystation","circ-o-verse","bus stop","subway station","metaxi station","football stadium","baseball stadium","soccer stadium","wind farm","solar farm","nuclear power plant","metroverse theatre","metroverse museum","metcinema","cylinder mansion","organic mansion","winter mega-mansion","rocket launch site","crypto mining facility","unbelievaltable","cemetery","ethrash","sewage treatment","rail-x-rail","river-x-river"
73,264,64,100,100,0.21,0.17,0.1,8,11,14,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,294,87,96,111,0.21,0.2,0.12,9,11,11,5,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,366,97,85,184,0.1,0.1,0.07,9,7,14,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
76,289,138,79,72,0.18,0.18,0.18,13,9,10,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,297,87,131,79,0.15,0.11,0.11,9,15,10,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,315,113,101,101,0.07,0.07,0.04,15,10,12,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,345,153,87,105,0.14,0.14,0.11,13,7,8,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,359,123,140,96,0.04,0.04,0.04,14,15,9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,326,68,160,98,0.24,0.24,0.28,7,12,10,7,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,353,90,97,166,0.08,0.08,0.08,10,9,15,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
83,323,55,98,170,0.1,0.1,0.07,6,11,17,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
84,302,136,116,50,0.07,0.03,0.03,15,11,9,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
85,309,125,65,119,0.26,0.26,0.2,12,7,12,6,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,287,119,54,114,0.18,0.14,0.12,12,6,12,4,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,272,60,103,109,0.18,0.14,0.2,7,9,13,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,312,106,84,122,0.2,0.16,0.09,13,8,10,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,267,102,83,82,0.2,0.19,0.07,12,9,12,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,332,104,124,104,0.03,0.03,0,9,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
91,287,66,134,87,0.08,0.08,0.08,9,15,10,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,274,117,40,117,0.14,0.1,0.15,12,4,13,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,299,106,61,132,0.12,0.12,0.05,12,8,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,259,83,49,127,0.14,0.14,0.19,10,6,14,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,288,82,78,128,0.09,0.09,0.11,11,10,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
96,269,97,55,117,0.12,0.12,0.18,13,6,11,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,224,77,83,64,0.1,0.06,0.24,9,12,8,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,328,103,120,105,0.11,0.11,0.07,12,14,10,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
99,319,46,109,164,0.2,0.2,0.13,7,10,14,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,321,92,153,76,0.2,0.16,0.12,9,13,8,5,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,295,40,81,174,0.24,0.2,0.16,8,9,14,6,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,318,139,115,64,0.11,0.11,0.08,15,14,7,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,289,53,84,152,0.11,0.11,0.18,8,9,10,4,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
104,308,122,121,65,0.24,0.19,0.07,8,8,11,6,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,274,96,78,100,0.18,0.18,0.29,8,8,9,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,304,130,93,81,0.12,0.12,0.19,10,7,8,4,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107,325,188,81,56,0.21,0.17,0.13,12,9,6,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
108,372,191,63,118,0.18,0.18,0.15,14,6,11,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,246,52,73,121,0.2,0.2,0.22,6,8,12,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,299,69,97,133,0.1,0.1,0.1,9,11,14,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,260,67,76,117,0.29,0.24,0.16,6,8,14,7,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
112,312,84,117,111,0.16,0.16,0.12,11,10,10,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,255,71,87,97,0.23,0.23,0.18,9,7,12,5,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,307,128,127,52,0.16,0.16,0.09,11,12,8,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,311,102,107,102,0.12,0.12,0.14,8,7,11,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
116,280,104,103,73,0.22,0.2,0.07,10,11,8,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
117,325,105,103,117,0.13,0.13,0.13,12,7,12,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
118,375,89,107,179,0.04,0.04,0.1,9,7,16,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,283,107,73,103,0.24,0.2,0.13,13,7,7,6,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,264,103,91,70,0.2,0.19,0.07,12,10,11,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,288,125,49,114,0.21,0.21,0.18,11,4,13,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,348,166,120,62,0.14,0.14,0.11,11,13,9,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
123,289,109,118,62,0.12,0.12,0.18,10,13,7,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
124,272,88,118,66,0.24,0.24,0.31,7,9,6,7,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,224,59,57,108,0.29,0.27,0.13,6,6,11,6,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
126,320,189,78,53,0.19,0.19,0.12,15,7,7,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
127,344,91,82,171,0.07,0.07,0.13,11,6,14,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
128,245,50,61,134,0.25,0.21,0.23,6,8,15,8,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,325,89,135,101,0.15,0.15,0.12,10,13,13,4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
130,289,142,65,82,0.13,0.09,0.09,13,7,12,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,317,132,115,70,0.2,0.18,0.15,8,12,7,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
132,370,118,159,93,0.1,0.09,0.04,10,10,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
133,297,71,90,136,0.17,0.17,0.17,9,8,13,6,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,342,100,137,105,0.07,0.07,0.03,13,12,9,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135,255,66,98,91,0.22,0.22,0.25,8,5,10,6,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,314,56,135,123,0.07,0.07,0.04,9,9,12,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,304,78,78,148,0.16,0.16,0.16,10,8,13,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,363,144,64,155,0.12,0.12,0.09,13,8,12,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,341,111,92,138,0.07,0.07,0.13,9,10,10,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
140,303,121,89,93,0.14,0.14,0.11,13,9,13,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,297,113,83,101,0.17,0.12,0.13,8,9,13,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
142,275,79,118,78,0.29,0.27,0.2,9,13,9,7,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,300,141,74,85,0.15,0.15,0.11,14,7,10,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
